City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Severo-Kurilsk,RU,2021-09-26 03:45:57,50.6789,156.125,49.89,79,50,13.69
115,Tiznit,MA,2021-09-26 03:45:57,29.5833,-9.5,67.84,48,0,1.66
116,Aden,YE,2021-09-26 03:45:58,12.7794,45.0367,85.26,70,76,7.83
117,Saint-Philippe,RE,2021-09-26 03:45:58,-21.3585,55.7679,72.99,82,63,14.34
118,Kashi,CN,2021-09-26 03:45:58,39.4547,75.9797,70.81,18,0,6.71
119,Teya,RU,2021-09-26 03:45:59,60.3778,92.6267,40.08,69,99,7.81
120,Havre-Saint-Pierre,CA,2021-09-26 03:45:59,50.2334,-63.5986,53.6,100,90,4.61
121,Tasiilaq,GL,2021-09-26 03:45:59,65.6145,-37.6368,37.56,57,96,5.57
122,Porto Torres,IT,2021-09-26 03:46:00,40.835,8.3972,75.38,85,98,5.73
123,Camacha,PT,2021-09-26 03:46:00,33.0833,-16.3333,67.42,73,40,5.75
124,Lapi,PH,2021-09-26 03:46:01,17.716,121.8978,91.22,57,98,2.42
125,San Antonio,US,2021-09-26 03:44:14,29.4241,-98.4936,75.09,50,1,0.0
126,Port Lincoln,AU,2021-09-26 03:45:13,-34.7333,135.8667,58.05,62,66,14.79
127,Rosita,NI,2021-09-26 03:46:01,13.9268,-84.4032,70.9,99,100,3.27
128,Akyab,MM,2021-09-26 03:46:02,20.15,92.9,84.72,72,21,7.02
129,Kaeo,NZ,2021-09-26 03:46:02,-35.1,173.7833,61.23,78,100,6.13
130,Tabou,CI,2021-09-26 03:46:03,4.423,-7.3528,76.26,90,100,9.24
131,Nanortalik,GL,2021-09-26 03:46:03,60.1432,-45.2371,37.31,75,3,4.72
132,Kruisfontein,ZA,2021-09-26 03:46:03,-34.0033,24.7314,55.02,87,7,4.68
133,Saint-Pierre,RE,2021-09-26 03:46:04,-21.3393,55.4781,73.08,68,0,13.8
134,Beringovskiy,RU,2021-09-26 03:46:04,63.05,179.3167,38.44,60,21,3.38
135,Marzuq,YE,2021-09-26 03:46:05,14.4,46.4667,79.72,26,63,0.58
136,Yingkou,CN,2021-09-26 03:46:05,40.6648,122.2283,72.48,64,93,4.68
137,Kidal,ML,2021-09-26 03:46:05,18.4411,1.4078,82.76,11,1,11.43
138,Vydrino,RU,2021-09-26 03:46:06,51.485,104.8461,41.43,76,100,2.44
139,Geraldton,AU,2021-09-26 03:46:06,-28.7667,114.6,70.21,56,75,14.97
140,Vao,NC,2021-09-26 03:46:07,-22.6667,167.4833,67.89,65,98,11.52
141,Quatre Cocos,MU,2021-09-26 03:46:07,-20.2078,57.7625,75.09,73,39,16.35
142,Coquimbo,CL,2021-09-26 03:42:29,-29.9533,-71.3436,55.13,82,0,6.91
143,Presidencia Roque Saenz Pena,AR,2021-09-26 03:46:08,-26.7852,-60.4388,59.92,60,0,6.06
144,Gorontalo,ID,2021-09-26 03:46:08,0.5412,123.0595,89.2,55,77,8.52
145,Port Elizabeth,ZA,2021-09-26 03:42:03,-33.918,25.5701,57.49,82,0,8.05
146,Hovd,MN,2021-09-26 03:46:09,48.0056,91.6419,50.54,13,11,4.7
147,Nikolskoye,RU,2021-09-26 03:46:09,59.7035,30.7861,48.09,92,100,9.01
148,Pangnirtung,CA,2021-09-26 03:46:09,66.1451,-65.7125,33.37,61,85,2.1
149,Porto Novo,BJ,2021-09-26 03:46:10,6.4965,2.6036,73.22,91,100,2.73
150,Itoman,JP,2021-09-26 03:46:10,26.1247,127.6694,91.42,67,40,10.36
151,Qasigiannguit,GL,2021-09-26 03:46:11,68.8193,-51.1922,17.85,74,5,5.86
152,Georgetown,MY,2021-09-26 03:46:11,5.4112,100.3354,89.53,73,20,7.0
153,Agadez,NE,2021-09-26 03:46:12,19.75,10.25,78.48,21,0,9.04
154,Baoding,CN,2021-09-26 03:46:12,38.8511,115.4903,64.24,94,100,6.64
155,Luderitz,NA,2021-09-26 03:46:13,-26.6481,15.1594,61.81,48,10,10.09
156,Nagua,DO,2021-09-26 03:45:15,19.3832,-69.8474,81.45,91,93,2.8
157,Mar Del Plata,AR,2021-09-26 03:46:13,-38.0023,-57.5575,56.08,63,0,3.0
158,Faanui,PF,2021-09-26 03:46:14,-16.4833,-151.75,79.77,68,0,6.04
159,San Cristobal,VE,2021-09-26 03:46:14,7.7669,-72.225,65.28,97,64,3.98
160,Galle,LK,2021-09-26 03:46:14,6.0367,80.217,81.95,83,100,16.02
161,Valley City,US,2021-09-26 03:46:15,46.9233,-98.0032,63.34,55,1,12.66
162,Altay,CN,2021-09-26 03:46:15,47.8667,88.1167,47.21,30,91,6.87
163,Jalu,LY,2021-09-26 03:46:15,29.0331,21.5482,68.16,36,2,8.41
164,Nanakuli,US,2021-09-26 03:46:16,21.3906,-158.1547,84.15,67,75,8.05
165,Lamar,US,2021-09-26 03:41:44,33.6668,-95.5836,74.52,53,1,5.75
